Phylum	No. genomes	Avg. single copy	No. genes >50% single copy	No. genes >=95.0% single copy	PF00380.20	PF00410.20	PF00466.21	TIGR00006	TIGR00019	TIGR00020	TIGR00029	TIGR00043	TIGR00054	TIGR00059	TIGR00061	TIGR00064	TIGR00082	TIGR00084	TIGR00086	TIGR00088	TIGR00092	TIGR00116	TIGR00158	TIGR00166	TIGR00168	TIGR00194	TIGR00250	TIGR00337	TIGR00344	TIGR00362	TIGR00392	TIGR00396	TIGR00398	TIGR00414	TIGR00420	TIGR00431	TIGR00435	TIGR00442	TIGR00460	TIGR00468	TIGR00472	TIGR00487	TIGR00496	TIGR00593	TIGR00615	TIGR00631	TIGR00635	TIGR00755	TIGR00810	TIGR00922	TIGR00959	TIGR00963	TIGR00964	TIGR00967	TIGR01009	TIGR01011	TIGR01017	TIGR01021	TIGR01029	TIGR01032	TIGR01044	TIGR01059	TIGR01063	TIGR01066	TIGR01071	TIGR01079	TIGR01087	TIGR01164	TIGR01169	TIGR01171	TIGR01393	TIGR01632	TIGR01951	TIGR01953	TIGR02012	TIGR02013	TIGR02027	TIGR02075	TIGR02191	TIGR02386	TIGR02397	TIGR02729	TIGR03263	TIGR03594	TIGR03625	TIGR03632	TIGR03654	TIGR03723	TIGR03953
p__Marinisomatota	8	95.74	83	68	100.00	100.00	100.00	100.00	87.50	100.00	100.00	100.00	100.00	100.00	100.00	50.00	87.50	100.00	87.50	100.00	62.50	100.00	87.50	100.00	100.00	100.00	75.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	87.50	100.00	100.00	100.00	100.00	100.00	87.50	100.00	100.00	100.00	100.00	100.00	87.50	100.00	100.00	50.00	100.00	100.00	87.50	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	87.50	100.00	100.00	100.00	87.50	100.00	100.00	100.00	75.00	62.50	100.00	100.00	100.00	100.00	87.50	100.00	100.00	100.00	100.00	100.00
p__Methylomirabilota	21	94.06	81	69	100.00	100.00	95.24	95.24	100.00	95.24	90.48	100.00	95.24	100.00	95.24	100.00	100.00	42.86	100.00	95.24	85.71	100.00	95.24	95.24	100.00	100.00	42.86	100.00	95.24	90.48	95.24	100.00	95.24	90.48	100.00	100.00	95.24	95.24	90.48	100.00	100.00	100.00	100.00	85.71	100.00	100.00	100.00	95.24	100.00	85.71	100.00	100.00	80.95	100.00	95.24	100.00	90.48	95.24	95.24	100.00	100.00	100.00	95.24	100.00	95.24	100.00	85.71	95.24	95.24	100.00	95.24	85.71	100.00	100.00	100.00	90.48	42.86	100.00	38.10	95.24	100.00	95.24	95.24	100.00	100.00	100.00	100.00	100.00	95.24
p__Moduliflexota	2	94.12	77	77	100.00	100.00	100.00	100.00	100.00	100.00	100.00	50.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	50.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	50.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	50.00	100.00	50.00	100.00	100.00	100.00	50.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__Myxococcota	134	94.30	83	74	98.51	98.51	94.78	98.51	99.25	99.25	97.01	96.27	33.58	97.76	98.51	98.51	83.58	99.25	96.27	97.01	91.04	98.51	100.00	100.00	76.87	100.00	95.52	97.01	97.01	95.52	72.39	85.82	97.01	99.25	98.51	59.70	95.52	100.00	97.76	99.25	97.01	96.27	100.00	86.57	98.51	98.51	99.25	98.51	98.51	96.27	97.76	97.76	95.52	99.25	97.76	98.51	72.39	98.51	98.51	99.25	98.51	96.27	98.51	100.00	98.51	97.01	95.52	98.51	96.27	98.51	97.01	96.27	99.25	99.25	10.45	95.52	99.25	98.51	97.01	95.52	97.01	97.76	97.76	100.00	98.51	99.25	96.27	97.76	97.76
p__Nitrospinota	8	96.03	84	66	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	87.50	100.00	100.00	87.50	100.00	100.00	100.00	100.00	100.00	100.00	100.00	12.50	100.00	87.50	87.50	100.00	87.50	100.00	87.50	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	87.50	87.50	100.00	100.00	100.00	87.50	100.00	75.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	87.50	75.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	87.50	100.00	87.50	87.50	87.50	87.50	100.00	100.00	100.00	87.50	100.00
p__Nitrospinota_A	1	96.47	82	82	100.00	100.00	100.00	100.00	100.00	100.00	0.00	0.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__Nitrospirota	82	95.94	83	69	97.56	98.78	95.12	97.56	96.34	100.00	98.78	97.56	96.34	98.78	98.78	100.00	98.78	96.34	96.34	100.00	95.12	100.00	100.00	98.78	90.24	97.56	43.90	97.56	96.34	98.78	93.90	97.56	92.68	92.68	93.90	100.00	86.59	100.00	95.12	97.56	42.68	100.00	100.00	97.56	97.56	98.78	98.78	96.34	93.90	93.90	98.78	95.12	90.24	98.78	98.78	100.00	98.78	98.78	97.56	98.78	98.78	98.78	97.56	96.34	100.00	98.78	98.78	98.78	96.34	98.78	98.78	93.90	97.56	100.00	93.90	91.46	100.00	100.00	92.68	93.90	97.56	97.56	100.00	97.56	96.34	100.00	96.34	96.34	97.56
p__Nitrospirota_A	4	93.24	78	75	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	50.00	25.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	75.00	100.00	100.00	100.00	75.00	75.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	25.00	100.00	50.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	50.00	100.00	100.00	100.00
p__OLB16	1	100.00	85	85	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__Omnitrophota	20	93.29	80	74	100.00	100.00	100.00	70.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	95.00	100.00	65.00	100.00	100.00	100.00	95.00	100.00	50.00	100.00	95.00	95.00	100.00	100.00	95.00	100.00	100.00	90.00	100.00	100.00	100.00	95.00	95.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	95.00	90.00	100.00	100.00	100.00	100.00	100.00	95.00	95.00	100.00	95.00	85.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	95.00	35.00	100.00	100.00	100.00	90.00	15.00	100.00	100.00	100.00	100.00	100.00
